FUNDOS,TIPO,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,DIVIDEND YIELD,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (12M) MÉDIA,VARIAÇÃO PREÇO,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
LASC11,SHOPPING,"101,00","3.092.401,13","0,99","0,56 %","9,60 %","0,58 %","0,80 %","-1,51 %","300.321.235,18","102,14","0,99","0,56 %","-4,51 %",2,"18,31",392,N/A,N/A,N/A
LIFE11,TIJOLO,"10,13","198.286,67","0,99","1,19 %","15,76 %","1,18 %","1,31 %","-1,66 %","226.123.667,17",N/A,N/A,N/A,N/A,0,"24,32",4.553,N/A,N/A,N/A
PLCR11,PAPEL,"91,12","335.006,52","0,99","0,97 %","13,98 %","1,08 %","1,17 %","2,08 %","193.583.680,95","91,78","0,99","0,98 %","1,20 %",0,"10,53",16.866,N/A,N/A,N/A
MANA11,TIJOLO,"9,70","140.306,39","0,99","1,01 %","13,34 %","1,07 %","1,11 %","-1,49 %","208.068.812,90",N/A,N/A,N/A,N/A,0,"26,88",5.636,N/A,N/A,N/A
CRAA11,TIJOLO,"100,50","124.113,09","0,99","1,27 %","9,78 %","1,27 %","1,63 %","-0,63 %","50.207.099,94","101,46","0,99","1,28 %","0,00 %",0,"5,94",1.615,N/A,N/A,N/A
HGAG11,TIJOLO,"23,58","7.122,00","0,99","0,60 %","13,26 %","0,80 %","1,11 %","0,24 %","5.906.966,62","23,79","0,99","0,63 %","0,00 %",0,"106,11",1.382,N/A,N/A,N/A
LLAO11,MISTO,"77,37","551.253,00","0,99",N/A,N/A,N/A,N/A,N/A,"28.233.080,39",N/A,N/A,N/A,N/A,17,"185,46",77,N/A,N/A,N/A
FLCR11,PAPEL,"97,60","80.685,79","0,99","1,03 %","13,63 %","0,98 %","1,14 %","0,05 %","62.213.955,03","98,19","0,99","1,02 %","-0,23 %",0,"11,23",2.727,N/A,N/A,N/A
RPRI11,PAPEL,"99,90","257.885,30","0,99","0,81 %","14,33 %","0,90 %","1,19 %","-1,45 %","226.861.247,97",N/A,N/A,N/A,N/A,0,"22,95",2.859,N/A,N/A,N/A
JPPA11,PAPEL,"96,49","231.890,24","0,99","1,11 %","15,83 %","1,16 %","1,32 %","-4,38 %","88.396.683,59","97,78","0,99","1,13 %","-0,55 %",0,"11,26",9.548,N/A,N/A,N/A
AAZQ11,TIJOLO,"9,30","710.115,76","0,98","1,28 %","12,10 %","1,28 %","1,51 %","0,21 %","227.315.695,26","9,46","0,98","1,27 %","0,00 %",0,"15,06",19.556,N/A,N/A,N/A
TJKB11,TIJOLO,"262,50","4.724,80","0,98","0,00 %","0,93 %","0,00 %","0,08 %","0,00 %","201.946.069,65",N/A,N/A,N/A,N/A,7,"12,37",74,N/A,N/A,N/A
HSML11,SHOPPING,"92,85","2.475.466,82","0,98","0,79 %","10,03 %","0,78 %","0,84 %","-2,78 %","1.494.660.725,10","94,71","0,98","0,78 %","-2,94 %",7,"14,19",165.405,N/A,N/A,N/A
OUJP11,PAPEL,"96,40","542.310,64","0,98","1,00 %","14,69 %","1,09 %","1,22 %","-1,57 %","321.778.420,43","98,94","0,97","1,01 %","-0,95 %",0,"13,59",29.384,N/A,N/A,N/A
ARRI11,PAPEL,"8,76","249.649,73","0,98","1,12 %","14,51 %","1,11 %","1,21 %","0,34 %","116.471.850,11","8,92","0,98","1,12 %","0,68 %",0,"14,44",28.123,N/A,N/A,N/A
KFOF11,TIJOLO,"97,76","1.370.521,97","0,98","0,81 %","10,64 %","0,79 %","0,89 %","1,81 %","447.679.979,74","98,75","0,99","0,81 %","8,67 %",0,"22,54",20.006,N/A,N/A,N/A
KNSC11,PAPEL,"87,75","2.554.999,39","0,98","0,82 %","11,61 %","0,83 %","0,97 %","1,26 %","1.200.043.719,84","90,39","0,97","0,83 %","2,56 %",0,"11,13",107.493,N/A,N/A,N/A
HBCR11,TIJOLO,"118,47","904.530,78","0,98","0,45 %","3,23 %","0,15 %","0,27 %","0,00 %","138.909.498,40",N/A,N/A,N/A,N/A,4,"29,30",40,N/A,N/A,N/A
CPTR11,TIJOLO,"9,57","1.430.013,64","0,98","1,00 %","2,54 %","0,42 %","0,21 %","-89,77 %","404.010.251,94","9,76","0,98","1,02 %","-90,11 %",0,"90,75",23.767,N/A,N/A,N/A
EVBI11,MISTO,"96,01","170.414,64","0,98","0,77 %","9,52 %","0,81 %","0,79 %","0,51 %","211.043.876,41","97,98","0,98","0,77 %","-1,76 %",6,"19,98",1.033,N/A,N/A,N/A
VGIA11,TIJOLO,"9,32","3.956.383,67","0,98","1,26 %","16,76 %","1,32 %","1,40 %","-0,10 %","821.627.874,80","9,50","0,98","1,26 %","-0,30 %",0,"11,75",151.1,N/A,N/A,N/A
CPSH11,TIJOLO,"108,49","662.750,79","0,98","0,68 %","3,51 %","0,85 %","1,17 %","-9,36 %","329.158.261,54",N/A,N/A,N/A,N/A,1,"22,96",271,N/A,N/A,N/A
RBED11,TIJOLO,"140,00","646.104,06","0,98","0,99 %","12,07 %","1,02 %","1,01 %","2,39 %","338.809.927,42","143,87","0,97","0,99 %","-0,15 %",7,"15,76",13.222,N/A,N/A,N/A
BTCI11,PAPEL,"9,86","2.341.918,27","0,98","1,02 %","12,39 %","1,04 %","1,03 %","1,85 %","1.004.085.952,88",N/A,N/A,N/A,N/A,0,"89,89",123.083,N/A,N/A,N/A
GURB11,TIJOLO,"108,30","6.226.725,83","0,97","0,00 %","0,83 %","0,00 %","0,07 %","0,00 %","126.243.376,27",N/A,N/A,N/A,N/A,2,"12,19",20,N/A,N/A,N/A
OIAG11,TIJOLO,"9,47","258.095,79","0,97","1,31 %","16,20 %","1,30 %","1,35 %","-1,76 %","88.404.386,94","9,79","0,97","1,28 %","0,00 %",0,"17,07",10.782,N/A,N/A,N/A
JRDM11,SHOPPING,"85,90","610.682,00","0,97",N/A,N/A,N/A,N/A,N/A,"224.143.181,16","88,84","0,97","0,45 %","-1,16 %",1,"20,46",4.001,N/A,N/A,N/A
CYCR11,TIJOLO,"9,39","243.916,30","0,97","1,05 %","14,05 %","1,07 %","1,17 %","1,60 %","159.667.573,83","9,79","0,96","1,02 %","2,62 %",0,"17,59",13.61,N/A,N/A,N/A
MALL11,SHOPPING,"115,49","2.560.190,79","0,96","0,72 %","8,80 %","0,71 %","0,73 %","0,32 %","1.090.919.149,65","119,56","0,97","0,71 %","-0,29 %",9,"13,01",129.157,N/A,N/A,N/A
MGCR11,PAPEL,"9,40","259.145,59","0,96","0,00 %","11,50 %","0,39 %","0,96 %","0,00 %","131.240.792,97","9,78","0,96","1,02 %","-89,08 %",0,"13,18",4.36,N/A,N/A,N/A
RBRX11,TIJOLO,"91,45","877.640,85","0,96","1,13 %","16,11 %","1,16 %","1,34 %","-0,13 %","179.203.185,59",N/A,N/A,N/A,N/A,0,"15,73",6.641,N/A,N/A,N/A
TEPP11,TIJOLO,"90,88","1.380.273,94","0,96","0,63 %","8,52 %","0,65 %","0,71 %","3,52 %","401.122.964,00","95,01","0,96","0,61 %","-0,74 %",5,"23,54",20.636,N/A,N/A,N/A
XPCI11,PAPEL,"87,93","2.242.460,94","0,96","1,08 %","12,45 %","1,09 %","1,04 %","1,09 %","804.789.885,53","92,49","0,95","1,03 %","0,72 %",0,"18,09",76.232,N/A,N/A,N/A
KIVO11,PAPEL,"92,24","218.305,64","0,96","1,09 %","17,42 %","1,20 %","1,45 %","0,28 %","113.655.096,17",N/A,N/A,N/A,N/A,0,"25,87",3.023,N/A,N/A,N/A
BTWR11,DESENVOLVIMENTO,"107,00","428,00","0,96","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","90.600.861,80","111,95","0,96","0,49 %","-0,05 %",1,"6,82",66,N/A,N/A,N/A
EXES11,TIJOLO,"88,00","2.992,00","0,96","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","43.941.490,17",N/A,N/A,N/A,N/A,0,"92,74",53,N/A,N/A,N/A
VGIP11,PAPEL,"87,62","1.953.910,18","0,95","0,89 %","11,61 %","0,83 %","0,97 %","-4,41 %","1.085.838.993,77","92,12","0,95","0,87 %","1,86 %",0,"13,80",89.666,N/A,N/A,N/A
MCHF11,PAPEL,"9,04","977.498,91","0,95","0,98 %","13,16 %","0,97 %","1,10 %","-1,39 %","306.946.638,79","9,49","0,95","0,95 %","-0,21 %",0,"18,12",86.337,N/A,N/A,N/A
RBRR11,PAPEL,"87,26","3.535.364,45","0,95","0,72 %","11,32 %","0,74 %","0,94 %","0,00 %","1.255.184.436,59","93,40","0,93","0,70 %","-0,71 %",0,"16,28",140.623,N/A,N/A,N/A
APTO11,TIJOLO,"9,88","42.644,06","0,95","1,01 %","13,35 %","1,01 %","1,11 %","0,30 %","41.636.073,96","10,38","0,95","0,96 %","4,22 %",4,"16,53",9.598,N/A,N/A,N/A
KNIP11,PAPEL,"92,80","10.380.152,79","0,95","0,64 %","9,85 %","0,58 %","0,82 %","1,28 %","7.815.483.499,63","97,60","0,95","0,61 %","3,98 %",0,"9,72",74.724,N/A,N/A,N/A
VRTA11,PAPEL,"87,91","2.498.044,03","0,95","0,78 %","11,82 %","0,76 %","0,99 %","-3,34 %","1.445.003.818,34","92,67","0,95","0,76 %","1,65 %",0,"12,17",123.969,N/A,N/A,N/A
MORC11,PAPEL,"92,86","477.852,15","0,95","1,34 %","14,26 %","1,18 %","1,19 %","-1,05 %","186.736.388,86","98,37","0,94","1,26 %","0,77 %",0,"10,18",6.886,N/A,N/A,N/A
CVBI11,PAPEL,"90,65","2.125.404,82","0,95","0,75 %","12,43 %","0,87 %","1,04 %","0,06 %","1.053.283.286,20","95,66","0,95","0,73 %","1,92 %",0,"13,92",83.075,N/A,N/A,N/A
SNFF11,TIJOLO,"88,00","301.788,39","0,95","0,73 %","9,74 %","0,71 %","0,81 %","-4,31 %","261.600.830,87","92,44","0,95","0,70 %","4,44 %",0,"15,84",30.802,N/A,N/A,N/A
VTLT11,TIJOLO,"96,24","198.626,06","0,95","0,90 %","10,99 %","0,89 %","0,92 %","-1,01 %","213.998.313,61","101,18","0,95","0,87 %","0,45 %",1,"21,44",6.077,N/A,N/A,N/A
PATC11,DESENVOLVIMENTO,"72,47","1.035.902,61","0,94","0,46 %","9,93 %","0,96 %","0,83 %","2,08 %","266.867.319,29","76,74","0,94","0,44 %","0,46 %",7,"20,31",7.127,N/A,N/A,N/A
VCJR11,PAPEL,"91,80","1.968.818,48","0,94","0,70 %","11,26 %","0,69 %","0,94 %","1,52 %","1.421.997.534,14","96,58","0,95","0,67 %","2,47 %",0,"12,52",23.844,N/A,N/A,N/A
RVBI11,TIJOLO,"81,60","248.985,36","0,94","0,90 %","11,66 %","0,88 %","0,97 %","-0,72 %","124.958.367,25","86,78","0,94","0,86 %","3,28 %",0,"16,08",12.32,N/A,N/A,N/A
BLCA11,TIJOLO,"125,00","41.449,47","0,94","0,00 %","2,73 %","0,15 %","0,23 %","0,00 %","216.924.880,50","135,58","0,92","0,42 %","-5,60 %",1,"67,91",219,N/A,N/A,N/A
PLCA11,TIJOLO,"89,14","70.740,97","0,94","1,23 %","14,49 %","1,24 %","1,21 %","-1,18 %","52.832.304,65","94,85","0,94","1,16 %","0,00 %",0,"33,51",1.875,N/A,N/A,N/A
MFII11,DESENVOLVIMENTO,"93,14","468.410,88","0,94","1,14 %","13,92 %","1,13 %","1,16 %","-1,04 %","438.163.267,98","98,98","0,94","1,09 %","-6,38 %",8,"11,80",29.954,N/A,N/A,N/A
BBPO11,TIJOLO,"96,75","1.815.419,70","0,94","0,93 %","11,93 %","0,92 %","0,99 %","-0,98 %","1.576.342.335,04","99,02","0,98","0,91 %","-1,48 %",63,"10,28",74.877,N/A,N/A,N/A
TVRI11,TIJOLO,"92,99","1.821.627,30","0,94","0,93 %","11,93 %","0,92 %","0,99 %","-0,98 %","1.576.342.335,04",N/A,N/A,N/A,N/A,63,"12,33",74.877,N/A,N/A,N/A
FATN11,TIJOLO,"92,87","398.696,85","0,94","0,92 %","10,71 %","0,89 %","0,89 %","-2,13 %","248.584.223,08","99,59","0,93","0,85 %","0,59 %",31,"10,59",2.979,N/A,N/A,N/A
GCRI11,PAPEL,"88,00","196.800,82","0,94","1,06 %","13,88 %","1,08 %","1,16 %","0,01 %","135.708.890,74","93,34","0,94","1,02 %","-1,09 %",0,"9,87",5.085,N/A,N/A,N/A
VXXV11,DESENVOLVIMENTO,"1.030,00","4.697.315,00","0,94","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","294.458.435,70",N/A,N/A,N/A,N/A,2,"9,03",20,N/A,N/A,N/A
GAME11,TIJOLO,"9,15","145.099,24","0,93","1,08 %","13,36 %","1,07 %","1,11 %","-0,86 %","212.432.782,63","9,79","0,93","1,02 %","-0,51 %",0,"9,35",23.885,N/A,N/A,N/A
NSLU11,TIJOLO,"187,31","120.209,42","0,93","0,83 %","10,57 %","0,82 %","0,88 %","-5,13 %","258.259.419,11","199,69","0,94","0,78 %","0,39 %",1,"18,38",6.342,N/A,N/A,N/A
BRLA11,TIJOLO,"146,57","123.954,75","0,93","0,00 %","3,80 %","0,29 %","0,32 %","0,00 %","541.290.895,96","157,16","0,93","0,91 %","-0,53 %",6,"90,77",275,N/A,N/A,N/A
JASC11,TIJOLO,"100,00","5.382.933,33","0,93","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","291.284.111,84",N/A,N/A,N/A,N/A,12,"7,22",73,N/A,N/A,N/A
XPSF11,TIJOLO,"8,18","542.135,55","0,93","0,90 %","11,99 %","0,88 %","1,00 %","-4,59 %","379.791.953,99","8,77","0,93","0,86 %","5,03 %",0,"16,53",52.474,N/A,N/A,N/A
BBGO11,TIJOLO,"91,09","439.689,52","0,93","0,81 %","14,74 %","0,96 %","1,23 %","-0,96 %","390.247.128,86","97,44","0,93","0,77 %","-0,51 %",0,"12,49",11.32,N/A,N/A,N/A
TMPS11,TIJOLO,"98,00","56.070,58","0,93","0,79 %","3,41 %","0,72 %","1,14 %","-4,04 %","103.596.741,04",N/A,N/A,N/A,N/A,0,"21,62",1.844,N/A,N/A,N/A
VVCO11,TIJOLO,"12,68","233.638,15","0,93","62,87 %","62,87 %","62,87 %","62,87 %","0,00 %","133.819.603,87",N/A,N/A,N/A,N/A,1,"37,38",3.719,N/A,N/A,N/A
BMLC11,TIJOLO,"103,00","35.796,19","0,93","0,74 %","11,77 %","0,73 %","0,98 %","-2,03 %","110.573.965,21","110,75","0,93","0,69 %","-2,40 %",2,"23,28",1.469,N/A,N/A,N/A
HPDP11,SHOPPING,"83,00","12.621,03","0,93","0,63 %","7,58 %","0,64 %","0,63 %","3,34 %","263.389.841,88","89,27","0,93","0,59 %","0,01 %",1,"48,19",427,N/A,N/A,N/A
VCRA11,TIJOLO,"96,48","717.691,27","0,93","1,14 %","15,32 %","1,22 %","1,28 %","0,49 %","473.513.830,32","103,07","0,94","1,07 %","0,67 %",0,"14,17",6.322,N/A,N/A,N/A
HSAF11,PAPEL,"84,49","396.061,91","0,93","0,82 %","12,92 %","0,86 %","1,08 %","-0,82 %","232.926.347,97","92,20","0,92","0,76 %","0,94 %",0,"14,08",10.064,N/A,N/A,N/A
VILG11,TIJOLO,"102,37","2.331.224,09","0,93","0,65 %","8,16 %","0,65 %","0,68 %","2,31 %","1.674.992.386,14","111,69","0,92","0,63 %","-0,52 %",14,"19,29",164.658,N/A,N/A,N/A
HCRI11,TIJOLO,"288,00","34.443,91","0,93","0,93 %","13,02 %","0,90 %","1,09 %","-3,38 %","61.650.320,00","308,25","0,93","0,86 %","0,09 %",1,"22,55",3.199,N/A,N/A,N/A
ZAVI11,TIJOLO,"126,79","647.383,03","0,93","0,91 %","9,71 %","0,90 %","0,88 %","1,33 %","158.887.138,22",N/A,N/A,N/A,N/A,9,"27,63",4.2,N/A,N/A,N/A
PORD11,PAPEL,"90,11","494.765,64","0,93","1,10 %","13,48 %","1,11 %","1,12 %","0,11 %","363.727.127,29","97,56","0,92","1,03 %","-0,55 %",0,"12,04",26.605,N/A,N/A,N/A
MATV11,TIJOLO,"86,63","13.027,43","0,92","0,73 %","12,28 %","1,04 %","1,02 %","-1,41 %","39.926.993,67","91,36","0,95","0,66 %","-1,59 %",0,"32,39",325,N/A,N/A,N/A
BTCR11,PAPEL,"88,00","652.774,65","0,92","0,98 %","13,52 %","0,97 %","1,13 %","-5,96 %","458.252.683,73","95,27","0,92","0,94 %","0,64 %",0,"17,97",16.934,N/A,N/A,N/A
BRIM11,DESENVOLVIMENTO,"1.030,22","1.020,40","0,92","0,00 %","1,41 %","0,00 %","0,12 %","0,00 %","138.626.509,33",N/A,N/A,N/A,N/A,1,"9,53",222,N/A,N/A,N/A
HABT11,PAPEL,"89,73","1.314.745,91","0,92","1,07 %","14,86 %","1,11 %","1,24 %","-4,35 %","793.941.909,12","97,69","0,92","1,02 %","-2,09 %",0,"14,85",72.969,N/A,N/A,N/A
KCRE11,TIJOLO,"93,97","509.635,76","0,92","0,60 %","11,33 %","0,78 %","0,94 %","-3,05 %","365.940.709,24","101,65","0,92","0,56 %","3,81 %",0,"12,32",9.851,N/A,N/A,N/A
CCRF11,PAPEL,"90,25","952.715,17","0,92","0,00 %","8,75 %","1,01 %","0,73 %","0,00 %","153.841.583,01","98,92","0,91","0,47 %","3,07 %",0,"62,22",330,N/A,N/A,N/A
HREC11,PAPEL,"84,01","169.017,67","0,92","0,99 %","13,10 %","1,00 %","1,09 %","1,46 %","473.244.536,07","91,77","0,92","0,93 %","3,25 %",0,"17,07",1.619,N/A,N/A,N/A
BICR11,PAPEL,"65,79","1.977,26","0,92",N/A,N/A,N/A,N/A,N/A,"32.878.908,14","65,76","1,00","54,74 %","-33,80 %",0,"90,79",526,N/A,N/A,N/A
IRIM11,TIJOLO,"84,83","66.423,88","0,92","0,90 %","11,99 %","0,92 %","1,00 %","-6,17 %","177.284.515,50","92,34","0,92","0,84 %","-5,12 %",0,"15,08",2.814,N/A,N/A,N/A
QAMI11,PAPEL,"84,50","112.541,27","0,92","1,17 %","13,22 %","1,01 %","1,10 %","6,69 %","74.367.555,48","92,80","0,91","1,08 %","1,42 %",0,"17,88",1.44,N/A,N/A,N/A
HGPO11,TIJOLO,"274,17","776.293,39","0,92","0,54 %","7,27 %","0,55 %","0,61 %","-1,27 %","524.413.598,45","299,14","0,92","0,50 %","-0,08 %",2,"12,96",17.207,N/A,N/A,N/A
CPTS11,PAPEL,"8,00","11.647.883,45","0,91","0,63 %","1,62 %","0,27 %","0,14 %","-90,39 %","2.822.630.555,05","8,88","0,90","0,61 %","-90,00 %",0,"91,40",243.898,N/A,N/A,N/A
DPRO11,TIJOLO,"89,20","1.568,60","0,91","0,70 %","7,59 %","0,51 %","0,63 %","0,00 %","48.830.402,42",N/A,N/A,N/A,N/A,1,"45,72",149,N/A,N/A,N/A
HGFF11,TIJOLO,"86,16","972.824,64","0,91","0,79 %","10,07 %","0,76 %","0,84 %","-2,76 %","269.718.830,26","94,19","0,91","0,74 %","8,46 %",0,"18,05",15.463,N/A,N/A,N/A
VVCR11,PAPEL,"20,00","77.831,39","0,91","0,09 %","31,00 %","0,56 %","2,58 %","-13,20 %","34.793.057,33",N/A,N/A,N/A,N/A,0,"57,54",3.418,N/A,N/A,N/A
KISU11,TIJOLO,"8,28","728.200,27","0,91","0,86 %","10,84 %","0,82 %","0,90 %","0,00 %","403.669.722,47","9,13","0,91","0,82 %","4,70 %",0,"14,27",123.999,N/A,N/A,N/A
IDFI11,TIJOLO,"25,97","53.561,33","0,91",N/A,N/A,N/A,N/A,N/A,"58.743.997,71","28,55","0,91","0,42 %","-48,98 %",2,"53,85",374,N/A,N/A,N/A
RECX11,TIJOLO,"68,30","15.517,91","0,91","0,52 %","10,68 %","0,66 %","0,89 %","0,22 %","16.418.118,00","75,20","0,91","0,47 %","-3,76 %",0,"29,62",676,N/A,N/A,N/A
RRCI11,PAPEL,"83,29","38.060,09","0,91","1,14 %","13,84 %","1,13 %","1,15 %","0,08 %","44.311.459,21","91,98","0,91","1,03 %","-2,23 %",0,"12,88",2.192,N/A,N/A,N/A
RFOF11,TIJOLO,"74,84","125.758,39","0,90","0,94 %","11,72 %","0,93 %","0,98 %","-2,28 %","88.790.907,89","82,35","0,91","0,91 %","3,01 %",0,"18,77",4.889,N/A,N/A,N/A
IRDM11,PAPEL,"78,41","5.167.097,67","0,90","1,00 %","11,58 %","0,94 %","0,97 %","-3,63 %","3.168.010.674,73","86,95","0,90","0,92 %","-6,30 %",0,"14,83",293.91,N/A,N/A,N/A
HFOF11,TIJOLO,"74,55","1.979.499,91","0,90","0,79 %","10,38 %","0,78 %","0,87 %","-3,05 %","1.908.406.485,31","82,88","0,90","0,76 %","2,47 %",0,"15,56",76.563,N/A,N/A,N/A
BCFF11,TIJOLO,"69,50","3.079.960,03","0,90","0,78 %","9,79 %","0,76 %","0,82 %","-3,94 %","1.962.153.724,82","77,91","0,89","0,72 %","5,43 %",1,"16,49",303.264,N/A,N/A,N/A
BCIA11,TIJOLO,"99,60","767.493,70","0,90","0,82 %","10,44 %","0,80 %","0,87 %","-0,12 %","410.096.652,00","110,27","0,90","0,77 %","9,98 %",0,"14,52",19.527,N/A,N/A,N/A
CPFF11,TIJOLO,"74,40","387.659,82","0,90","0,92 %","9,64 %","0,91 %","0,80 %","-2,20 %","211.086.322,93","82,68","0,90","0,85 %","6,99 %",0,"18,44",10.036,N/A,N/A,N/A
OUFF11,TIJOLO,"68,50","201.322,03","0,90","1,03 %","12,75 %","0,99 %","1,06 %","-5,29 %","138.712.754,08","76,45","0,90","0,94 %","0,72 %",3,"12,58",7.773,N/A,N/A,N/A
NCHB11,PAPEL,"80,30","381.074,24","0,90","0,90 %","14,12 %","0,99 %","1,18 %","-3,33 %","152.367.737,84","89,74","0,89","0,81 %","0,16 %",0,"13,17",11.494,N/A,N/A,N/A
RECR11,PAPEL,"84,35","6.384.682,64","0,90","0,86 %","12,15 %","0,78 %","1,01 %","-2,99 %","2.518.524.520,78","95,25","0,89","0,79 %","-0,08 %",1,"15,40",184.392,N/A,N/A,N/A
URPR11,PAPEL,"89,80","2.744.580,06","0,90","1,25 %","15,09 %","1,19 %","1,26 %","-3,99 %","1.173.462.007,78","100,51","0,89","1,16 %","1,72 %",0,"13,48",92.429,N/A,N/A,N/A
GCFF11,TIJOLO,"69,30","87.694,83","0,89","0,00 %","11,25 %","0,75 %","0,94 %","0,00 %","27.939.468,78","76,43","0,91","0,98 %","-6,08 %",0,"10,37",1.759,N/A,N/A,N/A
CRFF11,TIJOLO,"81,05","43.634,75","0,89","0,76 %","10,35 %","0,77 %","0,86 %","-0,48 %","62.630.988,04","90,76","0,89","0,69 %","8,05 %",0,"28,38",1.52,N/A,N/A,N/A
